epochs,loss
351,0.00167385
352,0.00127829
353,0.00118943
354,0.00109651
355,0.0019259
356,0.00105298
357,0.00107201
358,0.000852409
359,0.00115254
360,0.00114739
361,0.000843796
362,0.00101517
363,0.00119738
364,0.00122514
365,0.000832967
366,0.00147311
367,0.00106177
368,0.00106351
369,0.000932318
370,0.0010209
371,0.00111382
372,0.0012773
373,0.000989855
374,0.0013256
375,0.000840128
376,0.000831215
377,0.00110958
378,0.00116703
379,0.00089493
380,0.000855567
381,0.00137559
382,0.000805449
383,0.00118696
384,0.000763174
385,0.000954317
386,0.00159345
387,0.00150749
388,0.00198893
389,0.000994991
390,0.00124704
391,0.00134066
392,0.000885479
393,0.000966544
394,0.000866479
395,0.000756188
396,0.00077553
397,0.000951744
398,0.00102632
399,0.0009575
400,0.000673444
401,0.00067308
402,0.000725103
403,0.0023718
404,0.000829191
405,0.00160466
406,0.00116081
407,0.00218223
408,0.000596581
409,0.000604637
410,0.000848751
411,0.000870613
412,0.000522985
413,0.000688195
414,0.000898912
415,0.00080286
416,0.00110376
417,0.000858903
418,0.00115489
419,0.000862539
420,0.000586791
421,0.000510628
422,0.000946834
423,0.000939254
424,0.000704162
425,0.000874591
426,0.000782645
427,0.000631551
428,0.00129948
429,0.000559952
430,0.000493838
431,0.00207929
432,0.00139464
433,0.00117364
434,0.000767369
435,0.000621418
436,0.000623186
437,0.00102615
438,0.00211544
439,0.000770443
440,0.000998564
441,0.00060988
442,0.000534993
443,0.000410488
444,0.000666229
445,0.00308209
446,0.000640834
447,0.000537777
448,0.00066389
449,0.000475381
450,0.000657821
451,0.000573358
452,0.000555479
453,0.000662431
454,0.000810403
455,0.000555494
456,0.000792172
457,0.000428063
458,0.000504364
459,0.000690598
460,0.000604934
461,0.00058507
462,0.00120992
463,0.000871324
464,0.00137203
465,0.000829852
466,0.000781461
467,0.00104899
468,0.000806157
469,0.000967623
470,0.00104974
471,0.000697706
472,0.0009829
473,0.000533151
474,0.00358546
475,0.00148144
476,0.000382515
477,0.000384587
478,0.000546905
479,0.000639757
480,0.000361389
481,0.000431821
482,0.00103798
483,0.00053753
484,0.000657356
485,0.00104022
486,0.000738257
487,0.000434563
488,0.000626495
489,0.000885494
490,0.000332993
491,0.000325368
492,0.000654142
493,0.000747037
494,0.000601965
495,0.000364786
496,0.00130304
497,0.00104882
498,0.000400785
499,0.000347664
500,0.000351906
501,0.000347722
502,0.000504238
503,0.00044715
504,0.000287819
505,0.0016777
506,0.000680037
507,0.000580164
508,0.00094254
509,0.00158314
510,0.000796543
511,0.000453248
512,0.000441653
513,0.000550603
514,0.000413129
515,0.000477068
516,0.000824933
517,0.000573408
518,0.00040844
519,0.000342543
520,0.000566271
521,0.000620049
522,0.000689746
523,0.000832805
524,0.000343601
525,0.000603968
526,0.000461215
527,0.000644899
528,0.000762924
529,0.000517067
530,0.000390647
531,0.000398434
532,0.000973497
533,0.000391637
534,0.000460483
535,0.000361672
536,0.000458352
537,0.000436146
538,0.000369881
539,0.0003529
540,0.00049189
541,0.000578291
542,0.000317357
543,0.000803702
544,0.000615813
545,0.000627477
546,0.000437989
547,0.000498065
548,0.000364884
549,0.000405365
550,0.00120863
551,0.000302269
552,0.000299548
553,0.000678316
554,0.000273005
555,0.000353007
556,0.000914896
557,0.000558374
558,0.000320417
559,0.000727689
560,0.000380194
561,0.00043488
562,0.000485276
563,0.000224453
564,0.000462878
565,0.00111903
566,0.000417729
567,0.00028296
568,0.00128885
569,0.00118601
570,0.00157351
571,0.000689528
572,0.000247645
573,0.000646337
574,0.000200578
575,0.000215321
576,0.00031278
577,0.000414894
578,0.000757812
579,0.000221382
580,0.000234059
581,0.000378549
582,0.000594413
583,0.000245996
584,0.000364058
585,0.00897174
586,0.00108133
587,0.000203687
588,0.000166927
589,0.000184462
590,0.000182985
591,0.00023642
592,0.000219785
593,0.000207
594,0.000196999
595,0.000338463
596,0.000276671
597,0.000273601
598,0.000438328
599,0.000946383
600,0.000173079
601,0.000315105
602,0.00039237
603,0.00022134
604,0.000241094
605,0.00154974
606,0.000417062
607,0.00015135
608,0.000537428
609,0.000410176
610,0.00031
611,0.000395658
612,0.000154166
613,0.000196993
614,0.000245676
615,0.000381926
616,0.000451613
617,0.000679167
618,0.00025903
619,0.000192145
620,0.000373015
621,0.000237296
622,0.000241265
623,0.000616978
624,0.000454731
625,0.000364867
626,0.000232405
627,0.000397329
628,0.0011535
629,0.000423594
630,0.000372956
631,0.000166243
632,0.000541809
633,0.000743089
634,0.000289329
635,0.000420781
636,0.000230623
637,0.000349842
638,0.000328089
639,0.000522442
640,0.000750832
641,0.000500752
642,0.000188903
643,0.00020776
644,0.000189223
645,0.000127912
646,0.0009973
647,0.00108859
