epochs,loss
175,1.54867e-06
176,4.06846e-05
177,1.54089e-05
178,2.11938e-07
179,2.08511e-07
180,1.66339e-07
181,1.69089e-07
182,3.86033e-07
183,1.00227e-06
184,3.0946e-05
185,6.41494e-06
186,1.67983e-07
187,1.33519e-07
188,2.83194e-07
189,3.97232e-07
190,1.21015e-06
191,9.62222e-07
192,2.36172e-06
193,6.25165e-06
194,7.27127e-07
195,0.000101613
196,4.22146e-05
197,2.41905e-07
198,2.15015e-07
199,1.82809e-07
200,1.80524e-07
201,1.68348e-07
202,2.23362e-07
203,1.65836e-07
204,2.41605e-07
205,3.20738e-07
206,1.51873e-07
207,3.02137e-07
208,4.25978e-05
209,1.92568e-05
210,1.36347e-07
211,1.48538e-07
212,1.96274e-07
213,1.66776e-07
214,7.24929e-07
215,7.7567e-07
216,1.43089e-06
217,2.58191e-06
218,2.03584e-05
219,8.7402e-06
220,8.91964e-08
221,1.08987e-07
222,2.08713e-07
223,3.58928e-06
224,3.49384e-05
225,1.1147e-07
226,1.04741e-07
227,8.81941e-08
228,1.42173e-06
229,3.79262e-06
230,6.99246e-07
231,1.1941e-07
232,5.58388e-07
233,2.28394e-07
234,5.86842e-05
235,3.68952e-07
236,8.36839e-08
237,1.01781e-07
238,1.82634e-07
239,7.50935e-08
240,3.89918e-07
241,2.97053e-07
242,7.18931e-06
243,3.56556e-07
244,1.55906e-07
245,9.68119e-07
246,1.16293e-06
247,7.53289e-07
248,0.000122165
249,1.82874e-06
250,8.87903e-08
251,8.16006e-08
252,7.89843e-08
253,1.47347e-07
254,5.13312e-07
255,1.13884e-06
256,4.38075e-07
257,1.82324e-07
258,2.26492e-07
259,1.6077e-07
260,3.26525e-05
261,1.04827e-05
262,6.49262e-08
263,7.85583e-08
264,1.24021e-07
265,5.98422e-08
266,6.46785e-08
267,2.31568e-06
268,1.77482e-07
269,1.8391e-06
270,3.14676e-07
271,8.39714e-07
272,1.52493e-05
273,3.29874e-07
274,9.01109e-08
275,2.18686e-07
276,5.8761e-05
277,2.05402e-05
278,5.64767e-08
279,5.34662e-08
280,5.20036e-08
281,5.23925e-08
282,6.03274e-08
283,9.65304e-08
284,5.89058e-08
285,8.28985e-08
286,9.51625e-08
287,8.95659e-07
288,3.18677e-05
289,5.97714e-06
290,6.0443e-08
291,6.51455e-08
292,7.37527e-08
293,5.57332e-08
294,5.98157e-08
295,8.35775e-08
296,7.93143e-08
297,1.00125e-07
298,1.84482e-05
299,3.50097e-07
300,2.32748e-07
301,7.8788e-08
302,1.07008e-07
303,1.06634e-07
304,3.76537e-06
305,3.05398e-05
306,1.83402e-06
307,5.44156e-08
308,5.86653e-08
309,1.84605e-06
310,3.2854e-06
311,2.14496e-07
312,9.97572e-08
313,5.47018e-08
314,2.60387e-06
315,4.05632e-06
316,1.97125e-07
317,8.64206e-06
318,1.74101e-07
319,5.62074e-08
320,1.04568e-07
321,2.73859e-07
322,8.93509e-08
323,7.00467e-08
324,8.41941e-08
325,3.64392e-08
326,4.35758e-08
327,6.18606e-08
328,5.23127e-06
329,2.25524e-06
330,5.11382e-08
331,7.90269e-08
332,1.88628e-07
333,3.69504e-07
334,1.09635e-07
335,3.07885e-07
336,1.5284e-07
337,4.67904e-07
338,1.21793e-06
339,1.72106e-06
340,1.25032e-06
341,5.25604e-08
342,1.08561e-07
343,3.22163e-07
344,1.35164e-07
345,1.40458e-06
346,1.58361e-07
347,1.52251e-06
348,5.03517e-07
349,1.31797e-06
350,2.1064e-06
351,6.02016e-07
352,8.23211e-08
353,9.34456e-08
354,6.3175e-07
355,4.7879e-06
356,2.10456e-07
357,3.75834e-08
358,3.48353e-08
359,4.01484e-08
360,3.786e-08
361,1.52114e-07
362,9.98762e-07
363,1.80931e-06
364,2.22569e-07
365,1.15748e-06
366,1.89385e-06
367,1.53833e-06
368,3.08864e-08
369,4.13491e-08
370,7.78252e-08
371,5.4164e-08
372,1.31089e-06
373,1.33652e-06
374,6.10439e-08
375,7.1439e-07
376,2.48209e-06
377,2.47412e-06
378,7.76788e-08
379,2.49637e-08
380,2.42161e-08
381,9.25211e-08
382,3.50842e-08
383,1.75202e-06
384,5.36389e-07
385,6.67089e-08
386,4.49585e-07
387,6.00782e-06
388,2.59023e-08
389,2.42044e-08
390,2.70527e-08
391,2.59747e-06
392,3.84602e-07
393,2.26232e-08
394,2.31346e-08
395,5.21627e-08
396,1.62639e-07
397,6.48829e-06
398,1.00228e-06
399,2.20627e-08
400,2.40974e-08
401,2.29989e-08
